tps,suara
TPS_001_1,159
TPS_001_1_blur,159
TPS_001_1_bright,159
TPS_001_1_contrass,159
TPS_001_1_glass,159
TPS_001_1_random,159
TPS_001_2,9
TPS_001_2_blur,9
TPS_001_2_bright,9
TPS_001_2_contrass,9
TPS_001_2_glass,9
TPS_001_2_random,9
TPS_001_3,2
TPS_001_3_blur,2
TPS_001_3_bright,2
TPS_001_3_contrass,2
TPS_001_3_glass,2
TPS_001_3_random,2
TPS_002_1,112
TPS_002_1_blur,112
TPS_002_1_bright,112
TPS_002_1_contrass,112
TPS_002_1_glass,112
TPS_002_1_random,112
TPS_002_2,87
TPS_002_2_blur,87
TPS_002_2_bright,87
TPS_002_2_contrass,87
TPS_002_2_glass,87
TPS_002_2_random,87
TPS_002_3,2
TPS_002_3_blur,2
TPS_002_3_bright,2
TPS_002_3_contrass,2
TPS_002_3_glass,2
TPS_002_3_random,2
TPS_003_1,173
TPS_003_1_blur,173
TPS_003_1_bright,173
TPS_003_1_contrass,173
TPS_003_1_glass,173
TPS_003_1_random,173
TPS_003_2,27
TPS_003_2_blur,27
TPS_003_2_bright,27
TPS_003_2_contrass,27
TPS_003_2_glass,27
TPS_003_2_random,27
TPS_003_3,3
TPS_003_3_blur,3
TPS_003_3_bright,3
TPS_003_3_contrass,3
TPS_003_3_glass,3
TPS_003_3_random,3
TPS_004_1,207
TPS_004_1_blur,207
TPS_004_1_bright,207
TPS_004_1_contrass,207
TPS_004_1_glass,207
TPS_004_1_random,207
TPS_004_2,20
TPS_004_2_blur,20
TPS_004_2_bright,20
TPS_004_2_contrass,20
TPS_004_2_glass,20
TPS_004_2_random,20
TPS_004_3,3
TPS_004_3_blur,3
TPS_004_3_bright,3
TPS_004_3_contrass,3
TPS_004_3_glass,3
TPS_004_3_random,3
TPS_005_1,213
TPS_005_1_blur,213
TPS_005_1_bright,213
TPS_005_1_contrass,213
TPS_005_1_glass,213
TPS_005_1_random,213
TPS_005_2,30
TPS_005_2_blur,30
TPS_005_2_bright,30
TPS_005_2_contrass,30
TPS_005_2_glass,30
TPS_005_2_random,30
TPS_005_3,4
TPS_005_3_blur,4
TPS_005_3_bright,4
TPS_005_3_contrass,4
TPS_005_3_glass,4
TPS_005_3_random,4
TPS_006_1,201
TPS_006_1_blur,201
TPS_006_1_bright,201
TPS_006_1_contrass,201
TPS_006_1_glass,201
TPS_006_1_random,201
TPS_006_2,37
TPS_006_2_blur,37
TPS_006_2_bright,37
TPS_006_2_contrass,37
TPS_006_2_glass,37
TPS_006_2_random,37
TPS_006_3,5
TPS_006_3_blur,5
TPS_006_3_bright,5
TPS_006_3_contrass,5
TPS_006_3_glass,5
TPS_006_3_random,5
TPS_007_1,159
TPS_007_1_blur,159
TPS_007_1_bright,159
TPS_007_1_contrass,159
TPS_007_1_glass,159
TPS_007_1_random,159
TPS_007_2,15
TPS_007_2_blur,15
TPS_007_2_bright,15
TPS_007_2_contrass,15
TPS_007_2_glass,15
TPS_007_2_random,15
TPS_007_3,2
TPS_007_3_blur,2
TPS_007_3_bright,2
TPS_007_3_contrass,2
TPS_007_3_glass,2
TPS_007_3_random,2
TPS_008_1,120
TPS_008_1_blur,120
TPS_008_1_bright,120
TPS_008_1_contrass,120
TPS_008_1_glass,120
TPS_008_1_random,120
TPS_008_2,36
TPS_008_2_blur,36
TPS_008_2_bright,36
TPS_008_2_contrass,36
TPS_008_2_glass,36
TPS_008_2_random,36
TPS_008_3,3
TPS_008_3_blur,3
TPS_008_3_bright,3
TPS_008_3_contrass,3
TPS_008_3_glass,3
TPS_008_3_random,3
TPS_009_1,186
TPS_009_1_blur,186
TPS_009_1_bright,186
TPS_009_1_contrass,186
TPS_009_1_glass,186
TPS_009_1_random,186
TPS_009_2,18
TPS_009_2_blur,18
TPS_009_2_bright,18
TPS_009_2_contrass,18
TPS_009_2_glass,18
TPS_009_2_random,18
TPS_009_3,5
TPS_009_3_blur,5
TPS_009_3_bright,5
TPS_009_3_contrass,5
TPS_009_3_glass,5
TPS_009_3_random,5
TPS_010_1,56
TPS_010_1_blur,56
TPS_010_1_bright,56
TPS_010_1_contrass,56
TPS_010_1_glass,56
TPS_010_1_random,56
TPS_010_2,26
TPS_010_2_blur,26
TPS_010_2_bright,26
TPS_010_2_contrass,26
TPS_010_2_glass,26
TPS_010_2_random,26
TPS_010_3,1
TPS_010_3_blur,1
TPS_010_3_bright,1
TPS_010_3_contrass,1
TPS_010_3_glass,1
TPS_010_3_random,1
TPS_011_1,71
TPS_011_1_blur,71
TPS_011_1_bright,71
TPS_011_1_contrass,71
TPS_011_1_glass,71
TPS_011_1_random,71
TPS_011_2,123
TPS_011_2_blur,123
TPS_011_2_bright,123
TPS_011_2_contrass,123
TPS_011_2_glass,123
TPS_011_2_random,123
TPS_011_3,8
TPS_011_3_blur,8
TPS_011_3_bright,8
TPS_011_3_contrass,8
TPS_011_3_glass,8
TPS_011_3_random,8
TPS_012_1,75
TPS_012_1_blur,75
TPS_012_1_bright,75
TPS_012_1_contrass,75
TPS_012_1_glass,75
TPS_012_1_random,75
TPS_012_2,119
TPS_012_2_blur,119
TPS_012_2_bright,119
TPS_012_2_contrass,119
TPS_012_2_glass,119
TPS_012_2_random,119
TPS_012_3,8
TPS_012_3_blur,8
TPS_012_3_bright,8
TPS_012_3_contrass,8
TPS_012_3_glass,8
TPS_012_3_random,8
TPS_013_1,24
TPS_013_1_blur,24
TPS_013_1_bright,24
TPS_013_1_contrass,24
TPS_013_1_glass,24
TPS_013_1_random,24
TPS_013_2,119
TPS_013_2_blur,119
TPS_013_2_bright,119
TPS_013_2_contrass,119
TPS_013_2_glass,119
TPS_013_2_random,119
TPS_013_3,46
TPS_013_3_blur,46
TPS_013_3_bright,46
TPS_013_3_contrass,46
TPS_013_3_glass,46
TPS_013_3_random,46
TPS_014_1,27
TPS_014_1_blur,27
TPS_014_1_bright,27
TPS_014_1_contrass,27
TPS_014_1_glass,27
TPS_014_1_random,27
TPS_014_2,117
TPS_014_2_blur,117
TPS_014_2_bright,117
TPS_014_2_contrass,117
TPS_014_2_glass,117
TPS_014_2_random,117
TPS_014_3,15
TPS_014_3_blur,15
TPS_014_3_bright,15
TPS_014_3_contrass,15
TPS_014_3_glass,15
TPS_014_3_random,15
TPS_015_1,5
TPS_015_1_blur,5
TPS_015_1_bright,5
TPS_015_1_contrass,5
TPS_015_1_glass,5
TPS_015_1_random,5
TPS_015_2,54
TPS_015_2_blur,54
TPS_015_2_bright,54
TPS_015_2_contrass,54
TPS_015_2_glass,54
TPS_015_2_random,54
